minutes,T1_C,T2_C,T3_C,T4_C,T5_C,mean_C,delta_T_K,total_sensible_J
61.0,-25.95857695379533,-25.87545110811851,-25.843961953950327,-25.864503716121277,-25.936819228245497,-25.89586259204619,0.11461499984500279,-7126.236947539967
61.25,-26.001711235037277,-25.919472595099933,-25.888319526053067,-25.908642045146564,-25.98018573074026,-25.93966622641542,0.11339170898421003,-7137.972553232207
61.5,-26.044385142251144,-25.96302423886698,-25.932203667888757,-25.95230928389381,-26.02308938069291,-25.98300234271872,0.11218147436238723,-7149.582904302156
61.75,-26.086603589028527,-26.00611105407617,-25.97561943239893,-25.99551046032977,-26.065535118148688,-26.025875930796417,0.11098415662959837,-7161.069337597753
62.0,-26.12837143651791,-26.048738001862517,-26.018571818594666,-26.038250548757475,-26.1075278304275,-26.068291927232014,0.10979961792324389,-7172.433175698723
62.25,-26.16969349398471,-26.09090999041061,-26.061065772132707,-26.080534470389352,-26.149072352686602,-26.110255215920795,0.10862772185200242,-7183.675727068824
62.5,-26.210574519364684,-26.13263187551982,-26.10310618588437,-26.122367093912885,-26.190173468477326,-26.151770628631816,0.1074683334803126,-7194.798286206535
62.75,-26.25101921981215,-26.173908461163307,-26.14469790049921,-26.16375323605243,-26.230835910296207,-26.19284294556466,0.10632131931293998,-7205.802133794084
63.0,-26.291032252241564,-26.214744500041405,-26.18584570496239,-26.20469766212284,-26.271064360129373,-26.233476895899514,0.10518654727917465,-7216.688536844942
63.25,-26.33061822386395,-26.255144694128376,-26.22655433714587,-26.24520508657878,-26.310863449992013,-26.273677158341798,0.10406388671808031,-7227.458748849674
63.5,-26.369781692717623,-26.295113695214354,-26.266828484354278,-26.285280173557226,-26.35023776246166,-26.313448361661028,0.10295320836334554,-7238.114009920294
63.75,-26.408527168192506,-26.334656105440644,-26.3066727838644,-26.324927537414652,-26.389191831205636,-26.35279508522357,0.10185438432810656,-7248.655546933047
64.0,-26.446859111549827,-26.373776477829693,-26.34609182345895,-26.36415174325836,-26.427730141503446,-26.391721859520054,0.10076728809087854,-7259.084573669675
64.25,-26.484781936435382,-26.41247931680931,-26.385090141955402,-26.402957307471894,-26.465857130762856,-26.430233166686968,0.09969179447998044,-7269.4022909571695
64.5,-26.522300009388005,-26.45076907873144,-26.42367222972797,-26.441348698235515,-26.503577189031006,-26.468333441022786,0.09862777966003478,-7279.609886806058
64.75,-26.55941765034251,-26.488650172385178,-26.46184252922501,-26.47933033604008,-26.54089465949994,-26.506027069498543,0.09757512111750088,-7289.708536547165
65.0,-26.596139133126456,-26.52612695950441,-26.499605435480447,-26.516906594196627,-26.577813839006495,-26.543318392262886,0.09653369764600939,-7299.699402966971
65.25,-26.632468685953057,-26.563203755269967,-26.53696529661974,-26.554081799339514,-26.61433897852723,-26.580211703141902,0.09550338933331659,-7309.583636441478
65.5,-26.668410491907224,-26.599884828806807,-26.57392641436067,-26.590860231924722,-26.650474283668046,-26.616711250133495,0.09448407754655364,-7319.362375068685
65.75,-26.703968689428166,-26.636174403675113,-26.61049304450873,-26.627246126722838,-26.686223915147878,-26.652821235896546,0.09347564491943672,-7329.036744799609
66.0,-26.739147372784856,-26.672076658356787,-26.646669397446743,-26.66324367330654,-26.72159198927835,-26.688545818234655,0.09247797533811308,-7338.607859567951
66.25,-26.77395059254812,-26.70759572673694,-26.682459638620116,-26.698857016532912,-26.756582578437502,-26.72388911057512,0.09149095392800177,-7348.076821418357
66.5,-26.808382356057052,-26.742735698579224,-26.71786788901639,-26.73409025702091,-26.791199711538525,-26.75885518244242,0.0905144670406628,-7357.444720633291
66.75,-26.84244662787998,-26.7775006199972,-26.752898225639314,-26.768947451623404,-26.82544737449419,-26.793448059926817,0.08954840224066629,-7366.712635858595
67.0,-26.876147330271493,-26.811894493920136,-26.78755468197886,-26.803432613894245,-26.859329510675053,-26.82767172614796,0.08859264829263225,-7375.88163422767
67.25,-26.909488343623508,-26.845921280553767,-26.821841248475266,-26.837549714550477,-26.89285002136424,-26.86153012171345,0.08764709514824176,-7384.952771484363
67.5,-26.94247350691259,-26.87958489783645,-26.855761872978718,-26.87130268192945,-26.926012766206043,-26.89502714517265,0.0867116339338736,-7393.927092104513
67.75,-26.975106618141695,-26.912889221890254,-26.889320461203766,-26.90469540244132,-26.958821563650815,-26.92816665346557,0.08578615693792813,-7402.805629416235
68.0,-27.00739143477739,-26.945838087467024,-26.922520877179124,-26.93773172101632,-26.991280191394196,-26.960952462366812,0.0848705575982649,-7411.58940571888
68.25,-27.039331674182733,-26.978435288390443,-26.955366943692553,-26.970415441547573,-27.02339238681256,-26.993388346925173,0.08396473049018027,-7420.279432400762
68.5,-27.07093101404527,-27.010684577992293,-26.98786244273103,-27.00275032732918,-27.055161847393038,-27.02547804189816,0.08306857131424294,-7428.876710055594
68.75,-27.10219309280049,-27.042589669545094,-27.020011115916134,-27.034740101489376,-27.086592231159102,-27.05722524218204,0.0821819768843568,-7437.382228597715
69.0,-27.133121510050444,-27.074154236689196,-27.051816664935245,-27.066388447419314,-27.11768715709232,-27.088633603237305,0.08130484511519853,-7445.796967376072
69.25,-27.163719826978763,-27.105381913856405,-27.083282751967175,-27.097699009197072,-27.14845020554847,-27.119706741509578,0.08043707501158792,-7454.121895286964
69.5,-27.19399156676019,-27.136276296687697,-27.114413000104207,-27.128675392007437,-27.178884918670093,-27.150448234845925,0.07957856665598229,-7462.357970885634
69.75,-27.223940214966632,-27.16684094244772,-27.14521099376944,-27.15932116255695,-27.2089948007943,-27.18086162290701,0.07872922119719306,-7470.506142496616
70.0,-27.253569219968256,-27.197079370434523,-27.175680279128784,-27.189639849484166,-27.238783318856264,-27.210950407574398,0.07788894083947184,-7478.567348322929
70.25,-27.282881993330676,-27.226995062384304,-27.20582436450033,-27.21963494376689,-27.2682539027885,-27.24071805335414,0.07705762883034595,-7486.542516554127
70.5,-27.31188191020763,-27.25659146287248,-27.235646720757387,-27.249309899123205,-27.297409945915547,-27.27016798777525,0.07623518945024443,-7494.432565473145
70.75,-27.34057230972985,-27.28587197971072,-27.26515078172858,-27.278668132409507,-27.326254805344917,-27.299303601784715,0.07542152800127155,-7502.238403562049
71.0,-27.36895649538937,-27.314839984338448,-27.294339944593077,-27.30771302401422,-27.35479180235359,-27.32812825013774,0.07461655079629281,-7509.9609296066365
71.25,-27.39703773541956,-27.34349881221209,-27.323217570271993,-27.336447918246364,-27.38302422277036,-27.356645251784073,0.07382016514756629,-7517.601032799921
71.5,-27.424819263172367,-27.371851763188346,-27.351786983814833,-27.36487612372119,-27.410955317354336,-27.384857890250213,0.07303227935753398,-7525.159592844532
71.75,-27.452304277489674,-27.399902101904303,-27.38005147478313,-27.393000913741105,-27.438588302168938,-27.41276941401743,0.07225280270654366,-7532.637480053984
72.0,-27.47949594307201,-27.427653058153624,-27.40801429762854,-27.420825526672132,-27.4659263589526,-27.44038303689578,0.07148164544346969,-7540.035555452905
72.25,-27.506397390842977,-27.455107827258303,-27.435678672067752,-27.44835316631722,-27.49297263548479,-27.467701938394207,0.0707187187752254,-7547.354670876168
72.5,-27.533011718309666,-27.48226957043633,-27.46304778345359,-27.47558700228501,-27.519730245948722,-27.494729264086665,0.06996393485607655,-7554.595669066974
72.75,-27.559341989919517,-27.509141415165942,-27.490124783141084,-27.50253017035476,-27.546202271289644,-27.521468125974188,0.06921720677843268,-7561.759383773892
73.0,-27.585391237412665,-27.535726455545728,-27.516912788850988,-27.529185772837423,-27.572391759569825,-27.547921602843324,0.0684784485616774,-7568.846639846858
73.25,-27.61116246017167,-27.562027752650806,-27.543414885028398,-27.555556878932776,-27.598301726319562,-27.574092740620642,0.06774757514327234,-7575.858253332147
73.5,-27.636658625566298,-27.58804833488523,-27.569634123198,-27.58164652508293,-27.623935154883952,-27.59998455272328,0.06702450236829804,-7582.795031566334
