T_C,j_A_cm2,error_V,valid
0.5,3.062910206482632e-06,2.623207212781864e-05,True
0.5,3.579320837364593e-06,4.052908065999006e-05,True
0.5,4.182798969972031e-06,5.5551190830227526e-05,True
0.5,4.8880242979506284e-06,7.033941373446595e-05,True
0.5,5.7121515303221566e-06,8.407984075020636e-05,True
0.5,6.6752276822850066e-06,9.622660845698405e-05,True
0.5,7.800679721784456e-06,0.00010652634196617328,True
0.5,9.115884433926798e-06,0.00011496834837210201,True
0.5,1.0652834365272401e-05,0.00012170311116443955,True
0.5,1.244891604719963e-05,0.00012696357175578932,True
0.5,1.4547819428736743e-05,0.00013100621854311711,True
0.5,1.700060064094805e-05,0.0001340748271132508,True
0.5,1.9866923944772957e-05,0.0001363825079563341,True
0.5,2.3216513072880598e-05,0.00013810591448581988,True
0.5,2.7130847269642384e-05,0.00013938633127619227,True
0.5,3.170514328564207e-05,0.00014033398230384186,True
0.5,3.705067153902942e-05,0.00014103336178172832,True
0.5,4.329746278468033e-05,0.00014154843147928808,True
0.5,5.0597471131285437e-05,0.00014192717374950092,True
0.5,5.9128270347219716e-05,0.00014220534834397114,True
0.5,6.909737336837289e-05,0.0001424094791189212,True
0.5,8.074728008059909e-05,0.0001425591711283758,True
0.5,9.436137616482962e-05,0.0001426688785262087,True
0.5,0.00011027082649511832,0.00014274923787582772,True
0.5,0.00012886263077253266,0.0001428080654706232,True
0.5,0.00015058903734935916,0.0001428510989687215,True
0.5,0.00017597854423627313,0.00014288254655925314,True
0.5,0.0002056487548935761,0.0001429054923580697,True
0.5,0.00024032140152549899,0.0001429221949944548,True
0.5,0.00028083990132139714,0.00014293430715661692,True
0.5,0.00032818987270196787,0.00014294303680828513,True
0.5,0.0003835231106311733,0.00014294926544655695,True
0.5,0.0004481856041968269,0.00014295363476168887,True
0.5,0.0005237502779915854,0.00014295661007623917,True
0.5,0.0006120552537332152,0.00014295852672874254,True
0.5,0.0007152485628436249,0.00014295962392907313,True
0.5,0.0008358403976266819,0.00014296006940606176,True
0.5,0.0009767641720623372,0.00014295997728241971,True
0.5,0.0011414478775297805,0.00014295942095254865,True
0.5,0.0013338974691980096,0.0001429584422703023,True
0.5,0.0015587943114699354,0.0001429570579875028,True
0.5,0.0018216090528546738,0.00014295526412810844,True
0.5,0.0021287347002908923,0.00014295303880029753,True
0.5,0.0024876421299735775,0.000142950343792414,True
0.5,0.0029070618175077593,0.00014294712519991037,True
0.5,0.003397196208001707,0.00014294331325592768,True
0.5,0.003969967892033094,0.0001429388214679861,True
0.5,0.00463930962440476,0.00014293354512562306,True
0.5,0.005625,0.00029289469508886334,True
0.5,0.006875,0.0001956420919667634,True
0.5,0.00875,0.0004861605793029522,True
0.5,0.01125,0.00029285007331081303,True
0.5,0.01375,0.0001955874719257178,True
0.5,0.0175,0.0004860910229727011,True
0.5,0.0225,0.00029276059464067306,True
0.5,0.027500000000000004,0.00019547810248843334,True
0.5,0.0325,0.00013969049641771036,True
